year,iso3st,grpop,pop_density
1979,ALB,1.98945702,95.54131387
1980,ALB,2.047963861,97.51813869
1981,ALB,2.002974306,99.49109489
1982,ALB,2.113271783,101.6159854
1983,ALB,2.120885334,103.7941606
1984,ALB,2.103936618,106.0010584
1985,ALB,2.055994609,108.2029927
1986,ALB,1.933220811,110.315146
1987,ALB,1.997039956,112.5403285
1988,ALB,1.886710529,114.6837956
1989,ALB,2.687861989,117.8081387
1990,ALB,1.799085593,119.9467883
1991,ALB,-0.602809679,119.2259124
1992,ALB,-0.606434726,118.505073
1993,ALB,-0.610165793,117.7841971
1994,ALB,-0.613880507,117.0633577
1995,ALB,-0.617703658,116.3424818
1996,ALB,-0.621511399,115.6216423
1997,ALB,-0.625430097,114.9007664
1998,ALB,-0.629334393,114.179927
1999,ALB,-0.633352274,113.4590511
2000,ALB,-0.637356834,112.7382117
2001,ALB,-0.938470428,111.685146
2002,ALB,-0.299876697,111.3507299
2003,ALB,-0.374149169,110.9348905
2004,ALB,-0.417931378,110.4722263
2005,ALB,-0.511790116,109.9082847
2006,ALB,-0.630911245,109.2170438
2007,ALB,-0.755718755,108.394781
2008,ALB,-0.767342959,107.5662044
2009,ALB,-0.673894046,106.8437591
2010,ALB,-0.496461963,106.314635
2011,ALB,-0.269017332,106.0290146
2012,ALB,-0.16515104,105.8540511
2013,ALB,-0.183211385,105.660292
2014,ALB,-0.207047,105.4417518
2015,ALB,-0.291205787,105.135146
2016,ALB,-0.159880412,104.9671898
2017,ALB,-0.091972294,104.8706934
2018,ALB,-0.246732042,104.6122628
2019,ALB,-0.426007367,104.1675547
2020,ALB,-0.574206959,103.5711314
2021,ALB,-0.926918062,102.6155474
1960,AND,..,..
1961,AND,7.814816969,21.8787234
1962,AND,7.519100475,23.58723404
1963,AND,7.211505955,25.35106383
1964,AND,6.883059787,27.15744681
1965,AND,6.593796452,29.00851064
1966,AND,7.023409391,31.11914894
1967,AND,7.954820766,33.69574468
1968,AND,8.116408607,36.54468085
1969,AND,7.722623394,39.4787234
1970,AND,7.384231728,42.50425532
1971,AND,7.077000364,45.6212766
1972,AND,6.827128546,48.84468085
1973,AND,6.598855179,52.17659574
1974,AND,6.347262685,55.59574468
1975,AND,6.09802462,59.09148936
1976,AND,5.815408933,62.62978723
1977,AND,5.489293645,66.16382979
1978,AND,5.133349038,69.64893617
1979,AND,4.687542409,72.99148936
1980,AND,4.212470768,76.13191489
1981,AND,3.803010686,79.08297872
1982,AND,4.201690034,82.47659574
1983,AND,4.541364497,86.30851064
1984,AND,4.124295853,89.94255319
1985,AND,3.605584643,93.24468085
1986,AND,4.263757297,97.30638298
1987,AND,4.110358342,101.3893617
1988,AND,3.63286712,105.1404255
1989,AND,2.407249672,107.7021277
1990,AND,3.831232878,111.9085106
1991,AND,7.453294682,120.5680851
1992,AND,6.04803216,128.0851064
1993,AND,4.97705409,134.6212766
1994,AND,2.095725883,137.4723404
1995,AND,-1.089301487,135.9829787
1996,AND,0.112591492,136.1361702
1997,AND,1.11281494,137.6595745
1998,AND,1.048578972,139.1106383
1999,AND,0.500412969,139.8085106
2000,AND,-0.038053199,139.7553191
2001,AND,0.253921086,140.1106383
2002,AND,0.988236937,141.5021277
2003,AND,4.383312427,147.8425532
2004,AND,6.732207545,158.1382979
2005,AND,4.081069274,164.7255319
2006,AND,2.756757126,169.3297872
2007,AND,2.839248826,174.206383
2008,AND,1.956862869,177.6489362
2009,AND,0.469582601,178.4851064
2010,AND,-3.866965388,171.7148936
2011,AND,-3.689002364,165.4957447
2012,AND,-1.227564779,163.4765957
2013,AND,-2.157580998,159.987234
2014,AND,-1.956673204,156.887234
2015,AND,-2.142483826,153.5617021
2016,AND,0.009698313,153.5765957
2017,AND,2.16803975,156.9425532
2018,AND,1.878853322,159.9191489
2019,AND,1.730502969,162.7106383
2020,AND,1.177753549,164.6382979
2021,AND,1.263628895,166.7319149
1960,ARB,..,..
1961,ARB,2.61176286,8.360294838
1962,ARB,2.658225553,8.582530332
1963,ARB,2.706572559,8.814822743
1964,ARB,2.717378348,9.054354827
1965,ARB,2.717246163,9.300383937
1966,ARB,2.783936664,9.559300735
1967,ARB,2.875759912,9.834203273
1968,ARB,2.914663941,10.12083725
1969,ARB,2.938162178,10.41820386
1970,ARB,2.918368268,10.72224542
1971,ARB,2.889987797,11.032117
1972,ARB,2.892074687,11.35117407
1973,ARB,2.979639561,11.68943975
1974,ARB,3.005429752,12.04075765
1975,ARB,3.114197888,12.41573068
1976,ARB,3.239019957,12.81787867
1977,ARB,3.183854835,13.22598132
1978,ARB,3.344111174,13.66827284
