iso3,year,banking_crises,debt_crises,currency_crises,twin_crises,triple_crises
AZE,2011,,,,,
AZE,2012,,,,,
AZE,2013,,,,,
AZE,2014,,,,,
AZE,2015,,,1,,
AZE,2016,,,1,,
AZE,2017,,,,,
AZE,2018,,,,,
AZE,2019,,,,,
BDI,1950,,,,,
BDI,1951,,,,,
BDI,1952,,,,,
BDI,1953,,,,,
BDI,1954,,,,,
BDI,1955,,,,,
BDI,1956,,,,,
BDI,1957,,,,,
BDI,1958,,,,,
BDI,1959,,,,,
BDI,1960,,,,,
BDI,1961,,,,,
BDI,1962,,,,,
BDI,1963,,,,,
BDI,1964,,,,,
BDI,1965,,,,,
BDI,1966,,,,,
BDI,1967,,,,,
BDI,1968,,,,,
BDI,1969,,,,,
BDI,1970,,,,,
BDI,1971,,,,,
BDI,1972,,,,,
BDI,1973,,,,,
BDI,1974,,,,,
BDI,1975,,,,,
BDI,1976,,,,,
BDI,1977,,,,,
BDI,1978,,,,,
BDI,1979,,,,,
BDI,1980,,,,,
BDI,1981,,,,,
BDI,1982,,,,,
BDI,1983,,,1,,
BDI,1984,,,,,
BDI,1985,,,,,
BDI,1986,,,,,
BDI,1987,,,,,
BDI,1988,,,1,,
BDI,1989,,,,,
BDI,1990,,,,,
BDI,1991,,,,,
BDI,1992,,,,,
BDI,1993,,,,,
BDI,1994,1,,,,
BDI,1995,1,,,,
BDI,1996,1,1,,,
BDI,1997,1,1,,,
BDI,1998,1,1,,,
BDI,1999,,1,,,
BDI,2000,,1,,,
BDI,2001,,1,,,
BDI,2002,,1,,,
BDI,2003,,1,,,
BDI,2004,,1,,,
BDI,2005,,1,,,
BDI,2006,,1,,,
BDI,2007,,1,,,
BDI,2008,,1,,,
BDI,2009,,1,,,
BDI,2010,,,,,
BDI,2011,,,,,
BDI,2012,,,,,
BDI,2013,,,,,
BDI,2014,,,,,
BDI,2015,,,,,
BDI,2016,,,,,
BDI,2017,,,,,
BDI,2018,,,,,
BDI,2019,,,,,
BEL,1950,,,,,
BEL,1951,,,,,
BEL,1952,,,,,
BEL,1953,,,,,
BEL,1954,,,,,
BEL,1955,,,,,
BEL,1956,,,,,
BEL,1957,,,,,
BEL,1958,,,,,
BEL,1959,,,,,
BEL,1960,,,,,
BEL,1961,,,,,
BEL,1962,,,,,
BEL,1963,,,,,
BEL,1964,,,,,
BEL,1965,,,,,
BEL,1966,,,,,
BEL,1967,,,,,
BEL,1968,,,,,
BEL,1969,,,,,
BEL,1970,,,,,
BEL,1971,,,,,
BEL,1972,,,,,
BEL,1973,,,,,
BEL,1974,,,,,
BEL,1975,,,,,
BEL,1976,,,,,
BEL,1977,,,,,
BEL,1978,,,,,
BEL,1979,,,,,
BEL,1980,,,,,
