fold,y_true_imports,y_pred_imports,y_true_exports,y_pred_exports,mse_imports,mse_exports,country_id
2,21.224205,18.60698,21.208044,18.387228,19.557829,19.383936,59
2,21.317713,20.121408,21.003223,19.931467,19.557829,19.383936,59
2,21.573843,20.411863,21.283047,20.222176,19.557829,19.383936,59
2,21.63769,20.584892,21.51631,20.383558,19.557829,19.383936,59
2,22.268639,22.063982,21.940489,21.909172,19.557829,19.383936,59
2,22.488997,22.137943,22.02774,21.982424,19.557829,19.383936,59
2,22.783377,22.232473,22.236526,22.07862,19.557829,19.383936,59
2,22.584587,20.921854,21.66216,20.67869,19.557829,19.383936,60
2,22.732367,20.950422,22.033047,20.708908,19.557829,19.383936,60
2,22.750135,20.959269,22.09296,20.718338,19.557829,19.383936,60
2,22.873674,20.965004,22.235798,20.724289,19.557829,19.383936,60
2,23.207033,21.008684,22.403465,20.772757,19.557829,19.383936,60
2,22.910221,21.012257,22.331083,20.776037,19.557829,19.383936,60
2,23.124187,21.063202,22.656385,20.831923,19.557829,19.383936,60
2,23.15856,21.085882,22.707167,20.857107,19.557829,19.383936,60
2,21.969746,19.719013,20.691566,19.443577,19.557829,19.383936,61
2,0.0,0.053183466,0.0,0.07849352,19.557829,19.383936,62
2,0.0,0.79539424,0.0,0.70208436,19.557829,19.383936,62
2,0.0,-1.1990569,0.0,-1.2040447,19.557829,19.383936,62
2,0.0,-1.720786,0.0,-1.736292,19.557829,19.383936,62
2,0.0,0.09595391,0.0,0.11536425,19.557829,19.383936,62
2,0.0,0.100154236,0.0,0.11887218,19.557829,19.383936,62
2,0.0,0.8019947,0.0,0.7137816,19.557829,19.383936,62
2,0.0,0.22882089,0.0,0.23054653,19.557829,19.383936,62
2,0.0,0.21374579,0.0,0.21730366,19.557829,19.383936,62
2,0.0,0.22807989,0.0,0.22973457,19.557829,19.383936,62
2,0.0,2.9926796,0.0,2.6985002,19.557829,19.383936,63
2,0.0,3.0383105,0.0,2.7500718,19.557829,19.383936,63
2,0.0,3.0828009,0.0,2.8007817,19.557829,19.383936,63
2,0.0,3.3058753,0.0,3.0545225,19.557829,19.383936,63
2,0.0,3.355389,0.0,3.110673,19.557829,19.383936,63
2,0.0,3.3721704,0.0,3.1299672,19.557829,19.383936,63
2,0.0,2.6081634,0.0,2.3387465,19.557829,19.383936,63
2,0.0,3.4047828,0.0,3.167717,19.557829,19.383936,63
2,21.272957,2.7734752,21.303324,2.5337,19.557829,19.383936,63
2,22.818125,22.39771,22.22915,22.202765,19.557829,19.383936,64
2,22.91744,22.57253,22.374035,22.366632,19.557829,19.383936,64
2,22.937492,22.59925,22.654486,22.389847,19.557829,19.383936,64
2,22.948713,22.6258,22.857075,22.415564,19.557829,19.383936,64
2,23.083666,22.776737,23.081203,22.568682,19.557829,19.383936,64
2,23.109077,22.860378,23.317158,22.652933,19.557829,19.383936,64
2,23.169012,23.647928,23.807781,23.421608,19.557829,19.383936,64
2,23.530817,23.713293,23.839922,23.488731,19.557829,19.383936,64
2,23.733297,23.823517,24.025858,23.596088,19.557829,19.383936,64
2,23.510174,23.920418,23.258581,23.69361,19.557829,19.383936,64
2,22.52481,22.912424,21.579082,22.684868,19.557829,19.383936,64
2,22.499456,22.875977,21.533676,22.647228,19.557829,19.383936,64
2,0.0,-1.2525556,0.0,-1.3328234,19.557829,19.383936,65
2,0.0,-1.2684758,0.0,-1.3511388,19.557829,19.383936,65
2,0.0,-1.2630261,0.0,-1.282303,19.557829,19.383936,65
2,0.0,-1.2497414,0.0,-1.2660505,19.557829,19.383936,65
2,0.0,-1.2385103,0.0,-1.2506157,19.557829,19.383936,65
2,0.0,-1.2043605,0.0,-1.208373,19.557829,19.383936,65
2,0.0,-0.97759473,0.0,-1.0078645,19.557829,19.383936,65
2,23.51648,-0.96805453,23.270498,-1.0003394,19.557829,19.383936,65
2,0.0,-0.9401114,0.0,-0.9783125,19.557829,19.383936,65
2,22.391476,22.209574,22.267143,22.009245,19.557829,19.383936,66
2,22.89281,22.800909,22.786783,22.615004,19.557829,19.383936,66
2,23.315744,22.81794,23.237427,22.635899,19.557829,19.383936,66
2,23.532782,22.89413,23.462572,22.717089,19.557829,19.383936,66
2,23.447224,22.907732,23.389574,22.731201,19.557829,19.383936,66
2,23.858952,24.14616,23.608461,24.008087,19.557829,19.383936,66
2,23.853174,24.465277,23.637724,24.337322,19.557829,19.383936,66
2,23.83066,24.47316,23.589985,24.344814,19.557829,19.383936,66
2,0.0,17.96456,0.0,17.741018,19.557829,19.383936,67
2,0.0,12.791539,0.0,12.495522,19.557829,19.383936,67
2,24.07818,18.310986,24.118353,18.096142,19.557829,19.383936,67
2,24.918356,18.163006,24.775192,17.953442,19.557829,19.383936,67
2,25.120792,17.953753,24.950186,17.740376,19.557829,19.383936,67
2,25.231781,18.00576,25.264376,17.790056,19.557829,19.383936,67
2,25.441765,18.02746,25.338387,17.812914,19.557829,19.383936,67
