fold,preindex,country_id,y_true_imports,y_pred_imports,y_true_exports,y_pred_exports,mse_imports,mse_exports,shap_sanction,shap_neighbor,shap_log_rgdp,shap_log_pop,shap_polity2,shap_country_id
5,153,4,26.403439,25.02946,26.148216,25.249916,21.345337,20.796394,0.09013917648790923,-0.6554624445040939,1.519871846199039,0.22769162321090516,1.638287994821868,3.558541279911998
5,154,4,26.413626,25.044981,26.19973,25.26547,21.345337,20.796394,0.09011270109812138,-0.6554951579173339,1.5308275818030055,0.23210171767076154,1.6383424098094324,3.558700319488834
5,160,5,0.0,0.5305377,0.0,0.91209036,21.345337,20.796394,-0.05586066434780837,0.20435734926785215,-0.23451353191584354,-0.09384904346118261,-3.5625815682932767,-14.377406247609603
5,161,5,0.0,2.9419003,0.0,3.123534,21.345337,20.796394,0.029852294499674928,0.26879778383920705,-0.36504577041293174,-0.10491178477182982,-1.7708879410165062,-13.766295759696511
5,172,5,0.0,-0.009608343,0.0,0.05201123,21.345337,20.796394,-0.0021222601830954537,0.18324612181199273,-0.2654584748335198,-0.04162106335473717,-4.815701870772367,-13.71834222676667
5,180,5,0.0,0.008418441,0.0,0.0858165,21.345337,20.796394,0.0034777043275516207,0.18358509542793258,0.005048458791030483,-0.010519827249149774,-4.896606435128804,-13.92695798620457
5,186,5,0.0,0.012184836,0.0,0.09638432,21.345337,20.796394,0.0034206681922084345,0.183626831972973,0.025189828112104344,0.007519724817328845,-4.9124491193456,-13.94551452863341
5,189,6,25.137909,24.680916,25.115168,24.89002,21.345337,20.796394,0.0960724064707743,-0.6538112458189296,0.7455102635820732,0.020930610994496352,1.6104058287342395,4.211416537702081
5,190,6,25.184515,25.342625,25.136341,25.602901,21.345337,20.796394,-0.060934097448978944,0.22625805600484647,0.7584738584756806,0.019964520891503086,1.5701689617236567,4.178301933805137
5,197,6,25.320705,24.744102,25.377226,24.957472,21.345337,20.796394,0.09562106215954029,-0.6539379311601368,0.804891822854681,0.02184002576271268,1.612405887444819,4.212890180110931
5,200,6,25.432796,24.77158,25.450653,24.98682,21.345337,20.796394,0.09538633241256682,-0.6539707911014594,0.8307268937627517,0.02223680643240418,1.6132530176440905,4.21355605242649
5,201,6,25.53545,24.794123,25.543547,25.010769,21.345337,20.796394,0.09520131240288358,-0.6539868604540788,0.8515344654122955,0.023026406228540314,1.6138934263984408,4.2140625150799735
5,202,6,25.62854,24.811039,25.621105,25.028664,21.345337,20.796394,0.09510735563436568,-0.6540018096367419,0.8668844432830821,0.023882016897202304,1.6143874333302157,4.214388100584346
5,206,6,25.740545,24.839878,25.727213,25.058645,21.345337,20.796394,0.09497133179505726,-0.6540201300382582,0.8914650419155774,0.027299398144091276,1.6150146111647292,4.214756398439397
5,216,6,26.208063,25.615448,26.256655,25.891808,21.345337,20.796394,-0.06067997916539535,0.2264188257058415,1.0098639388481798,0.030484362721448714,1.575456298311557,4.1835131207704475
